,,,,,,Normalized summed signal-to-noise ratio,,,,,,,,,,,,Normalized relative abundance,,,Absolute abundance (copy number per average cell),,
Protein,NCBI Description,%Coverage,Peptides,Length,Total Area,"Time point 1, replicate 1","Time point 1, replicate 2","Time point 1, replicate 3","Time point 1, median","Time point 2, replicate 1","Time point 2, replicate 2","Time point 2, replicate 3","Time point 2, median","Time point 3, replicate 1","Time point 3, replicate 2","Time point 3, replicate 3","Time point 3, median","Time point 1, median","Time point 2, median","Time point 3, median","Time point 1, median","Time point 2, median","Time point 3, median"
AOE93218.1,chromosomal replication initiator protein DnaA [synthetic bacterium JCVI-Syn3.0],72.8888888888889,88,451,28000000000,2996812817.00928,2932575149.04573,2802206511.2122,2932575149.04573,2924839292.8658,2857537973.10527,3104372673.46525,2924839292.8658,3503860238.02985,3501538087.92041,3376257257.3462,3501538087.92041,0.001918904261403,0.001793264707592,0.002174926784918,148,138,168
AOE93219.1,DNA polymerase III subunit beta [synthetic bacterium JCVI-Syn3.0],64.8,76,376,38000000000,4398947438.68483,4212883176.5668,4227874748.32226,4227874748.32226,4027151763.04786,4370595726.50614,3998454184.19354,4027151763.04786,4220968678.83712,4240088737.08558,4303035546.75585,4240088737.08558,0.002766471943225,0.002469109720457,0.002633666215579,213,190,203
AOE93220.1,ribonuclease M5 [synthetic bacterium JCVI-Syn3.0],60,14,181,12000000000,1295924283.66304,1298833869.20431,1264171756.02442,1295924283.66304,1345582799.91335,1417172018.17224,1378404558.8479,1378404558.8479,1325793705.42108,1323330815.97067,1350786192.78301,1325793705.42108,0.000847976438451,0.000845121389813,0.000823496466066,65,65,63
AOE93221.1,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase [synthetic bacterium JCVI-Syn3.0],51.5037593984962,21,267,7000000000,809263279.272856,771852353.663344,801864497.275116,801864497.275116,734818379.837663,760717226.321497,753903264.403618,753903264.403618,755899256.449504,774986804.058691,836694938.717713,774986804.058691,0.000524692845941,0.000462229880558,0.000481371190541,40,36,37
AOE93222.1,hypothetical protein JCVSYN2_00025 [synthetic bacterium JCVI-Syn3.0],46.5564738292011,37,364,14000000000,1405346334.64498,1484307747.15892,1431895290.09114,1431895290.09114,1748153476.09175,1732653020.51146,1596971171.1623,1732653020.51146,1627890026.96653,1531923692.87231,1440859240.5006,1531923692.87231,0.000936947847673,0.001062316661214,0.000951530952519,72,82,73
AOE93223.1,DNA gyrase subunit B [synthetic bacterium JCVI-Syn3.0],49.211356466877,94,635,39000000000,4976224591.71343,4833863191.20383,4754801319.43415,4833863191.20383,3823959219.70693,3775790472.43907,4027978109.55857,3823959219.70693,4234205836.42281,4188628519.2315,4384548740.28972,4234205836.42281,0.003162995048791,0.002344529194714,0.002630012141882,244,181,203
AOE93224.1,DNA gyrase subunit A [synthetic bacterium JCVI-Syn3.0],50.9592326139089,128,835,49000000000,5918320208.51996,5903605051.71558,5968820885.18528,5918320208.51996,5085958806.59288,4616950743.01486,4807721931.58894,4807721931.58894,5699842181.19799,5501930209.94166,5496849982.24285,5501930209.94166,0.003872599777084,0.002947689496945,0.00341743973131,298,227,263
AOE93225.1,ABC transporter permease [synthetic bacterium JCVI-Syn3.0],15.3846153846154,4,326,940000000,92313585.9330072,95247423.7164354,124555126.29404,95247423.7164354,106667838.767715,83428197.5816937,90820227.2967172,90820227.2967172,111999221.069898,139232624.165242,95735755.1752517,111999221.069898,6.23242979183655E-05,5.56833015557227E-05,6.95666017842963E-05,5,4,5
AOE93226.1,ABC transporter permease [synthetic bacterium JCVI-Syn3.0],36.7251461988304,79,856,36000000000,3431202023.04732,3552977160.5771,3478972212.85786,3478972212.85786,4322845969.15273,4378066069.72151,4050855236.42643,4322845969.15273,4392282524.2809,4194345509.19562,4198453294.74053,4198453294.74053,0.002276434282248,0.002650404462134,0.002607804997884,175,204,201
AOE93227.1,sugar ABC transporter ATP-binding protein [synthetic bacterium JCVI-Syn3.0],54.4609665427509,99,539,29000000000,3028877233.38802,2879567180.87294,2837823776.57671,2879567180.87294,3186084914.28525,3116639124.95381,3605656440.79296,3186084914.28525,3304318995.42287,3470164837.33087,3570867496.37657,3470164837.33087,0.001884218972588,0.001953438483309,0.002155439770548,145,150,166
AOE93228.1,sugar ABC transporter substrate-binding protein [synthetic bacterium JCVI-Syn3.0],54.1970802919708,92,549,17000000000,1603990533.20613,1604570235.26746,1574309603.60868,1603990533.20613,1987305611.17486,1950265705.29319,2177062491.72963,1987305611.17486,2053353604.36277,2046613532.41669,2002528682.94058,2046613532.41669,0.001049556827357,0.001218448146677,0.001271222667943,81,94,98
AOE93229.1,methionine--tRNA ligase [synthetic bacterium JCVI-Syn3.0],45.5795677799607,58,510,47000000000,4765334153.51019,4929342895.42132,4913470204.23628,4913470204.23628,5430412926.28279,5541469441.14478,5268233253.7567,5430412926.28279,5306227966.82605,5459048512.32721,5386460646.49467,5386460646.49467,0.003215085184178,0.003329471083114,0.003345717579479,248,256,258
AOE93230.1,30S ribosomal protein S18 [synthetic bacterium JCVI-Syn3.0],65.3333333333333,55,76,48000000000,3971656844.41887,4162679316.57319,4140700455.66615,4140700455.66615,6477084687.58636,6423047281.09118,5076376505.76734,6423047281.09118,6127421814.93263,5901333622.59165,5719699471.37263,5901333622.59165,0.002709430226249,0.003938070728354,0.003665523047369,209,303,282
AOE93231.1,single-stranded DNA-binding protein [synthetic bacterium JCVI-Syn3.0],26.027397260274,13,147,19000000000,2203834708.11613,2120041410.90109,1969057700.01999,2120041410.90109,2217896486.73379,2574330138.90473,2153996682.896,2217896486.73379,1801478840.38682,2017466114.68867,1941897917.35277,1941897917.35277,0.001387230093337,0.001359827018344,0.001206180166538,107,105,93
